Build,ssh start, docker start, docker tagged, docker up, unit test start, ssh stop
14300,11:13:08,11:14:25,12:03:31,12:04:44,12:10:48,12:41:32
14301,11:38:57,11:39:46,12:23:52,12:24:48,12:29:13,13:04:53
14303,13:53:59,13:54:18,14:12:29,14:13:49,14:16:58,14:55:28
14307,19:54:36,19:55:02,20:23:02,20:23:48,20:28:39,21:09:06
14310,20:08:01,20:08:25,20:40:56,20:41:24,20:47:24,21:23:47
14311,20:10:50,20:11:24,20:54:00,20:54:57,21:01:54,21:31:08
14312,21:14:18,21:14:38,21:39:23,21:40:36,21:43:38,22:31:04
14315,02:41:57,02:42:19,03:13:25,03:13:51,03:20:04,04:04:11
14316,02:43:11,02:44:02,03:44:28,03:45:55,03:53:02,04:35:36
14323,08:10:39,08:11:01,08:46:03,08:47:51,08:54:10,09:37:42
14328,15:23:58,15:24:18,15:46:45,15:47:19,15:51:49,16:22:43
14335,17:37:45,17:39:19,20:03:39,20:04:50,20:09:55,20:47:31
14336,18:25:45,18:27:28,19:48:31,19:50:03,19:53:06,20:39:53
14338,18:40:38,18:42:10,20:02:37,20:05:00,20:08:08,21:00:59
14339,18:47:02,18:48:34,20:15:25,20:15:53,20:23:49,21:18:24
14341,19:07:09,19:08:19,20:10:35,20:11:29,20:20:30,21:18:11
14343,19:57:08,19:58:23,20:31:55,20:33:05,20:38:27,21:24:44
14344,20:18:19,20:19:00,21:04:12,21:06:55,21:10:11,21:56:50
14345,20:56:53,20:57:39,22:33:51,22:34:52,22:42:28,23:20:57
14346,21:12:43,21:13:17,22:16:05,22:16:43,22:23:19,23:02:50
14349,22:28:26,22:29:17,23:15:51,23:16:36,23:19:33,23:57:15
14350,22:33:27,22:34:25,23:29:48,23:30:57,23:36:31,00:39:43
14352,23:23:51,23:24:29,00:20:15,00:20:42,00:28:51,01:14:52
14353,00:37:24,00:37:53,01:13:31,01:14:25,01:16:31,01:53:00
14354,02:16:09,02:17:17,02:46:47,02:47:46,02:52:44,03:25:34
14355,07:42:00,07:42:35,08:06:55,08:07:16,08:12:17,08:47:50
14357,09:52:32,09:53:02,10:31:38,10:32:36,10:37:48,11:09:45
14359,14:39:56,14:40:23,15:11:39,15:14:19,15:18:56,15:54:54
14361,20:09:34,20:09:58,20:40:30,20:41:38,20:47:44,21:30:57
14362,20:46:26,20:46:50,21:10:46,21:11:50,21:15:08,22:03:51
14363,21:00:25,21:00:44,21:17:01,21:18:04,21:20:40,21:56:32
14369,02:57:46,02:58:20,03:18:30,03:19:58,03:23:37,04:10:00
14372,09:24:00,09:24:18,09:44:07,09:44:59,09:47:36,10:28:19
14373,09:58:02,09:58:24,10:31:34,10:32:23,10:36:31,11:14:55
14375,12:56:05,12:56:25,13:23:01,13:23:42,13:27:41,14:14:36
14377,14:27:22,14:27:44,14:58:37,15:01:06,15:05:46,15:46:25
14379,14:28:55,14:29:42,14:56:20,14:56:45,15:02:57,15:46:42
14380,14:30:34,14:31:28,15:02:42,15:05:23,15:09:38,15:47:38
14381,14:34:13,14:35:01,15:06:16,15:06:48,15:13:23,15:56:42
14382,14:42:48,14:43:07,15:01:31,15:02:12,15:04:19,15:39:24
14383,14:55:21,14:55:42,15:22:16,15:22:52,15:25:16,15:50:30
14385,16:24:39,16:24:59,16:50:00,16:50:48,16:55:41,17:32:18
14386,16:28:24,16:28:45,16:50:33,16:51:59,16:55:26,17:41:49
14387,22:32:37,22:32:56,22:50:38,22:51:49,22:54:50,23:35:01
14388,22:43:30,22:43:51,23:07:01,23:07:53,23:11:21,23:53:09
14390,22:52:23,22:52:44,23:27:01,23:27:51,23:31:17,00:02:04
14391,22:54:20,22:54:40,23:14:58,23:15:48,23:18:16,23:52:35
14392,01:30:08,01:30:50,01:48:42,01:50:14,01:53:13,02:33:15
14393,01:46:32,01:47:02,02:06:39,02:07:50,02:13:13,03:05:10
14394,04:39:19,04:39:42,04:59:31,05:00:34,05:03:03,05:41:32
14398,11:56:13,11:56:53,12:41:21,12:45:18,12:52:15,13:40:03
14399,12:06:10,12:06:59,12:50:04,12:51:10,13:00:05,13:49:24
14401,13:55:25,13:55:46,14:20:15,14:21:03,14:25:43,15:02:31
14403,14:14:09,14:14:34,14:58:36,14:59:17,15:03:28,15:38:57
14404,14:43:29,14:43:52,15:07:50,15:08:25,15:12:32,15:46:15
14407,15:53:43,15:54:36,16:25:38,16:26:45,16:32:27,17:12:06
14410,16:59:01,16:59:19,17:18:39,17:19:23,17:22:10,18:01:01
14412,17:20:04,17:20:53,18:06:41,18:07:43,18:11:29,18:46:49
14413,17:35:58,17:36:18,17:54:58,17:56:35,17:59:31,18:35:25
14416,19:10:33,19:10:55,19:32:55,19:33:56,19:36:22,20:15:06
14418,20:51:16,20:51:39,21:16:55,21:18:08,21:21:19,22:07:00
14419,20:53:50,20:55:22,21:17:56,21:18:23,21:23:00,21:56:05
14420,20:54:40,20:55:40,21:15:26,21:16:16,21:18:52,21:59:26
14421,21:45:13,21:45:52,23:08:18,23:10:38,23:20:10,00:05:38
14422,01:09:03,01:09:30,01:32:33,01:32:50,01:37:33,02:10:31
14423,01:35:07,01:35:39,01:51:35,01:52:26,01:56:21,02:35:43
14424,01:36:07,01:36:37,01:52:37,01:53:32,01:57:46,02:39:50
14425,02:40:29,02:40:54,03:03:55,03:05:06,03:10:16,04:03:18
14427,03:53:29,03:53:48,04:14:11,04:15:03,04:17:47,04:58:09
14428,04:13:09,04:13:42,04:30:31,04:31:11,04:33:14,05:13:01
14429,08:34:42,08:35:06,08:54:43,08:55:15,08:59:48,09:46:20
14430,08:35:11,08:35:36,08:52:59,08:53:25,08:57:19,09:37:25
14432,11:02:48,11:03:45,11:29:35,11:30:30,11:34:22,12:23:10
14433,11:54:44,11:55:14,12:19:35,12:20:51,12:26:09,13:25:07
14434,13:16:36,13:17:11,13:43:35,13:44:43,13:48:19,14:39:45
14435,13:17:50,13:18:21,13:41:47,13:43:01,13:49:06,14:41:21
14436,13:29:30,13:29:51,13:53:23,13:54:03,13:58:58,14:31:50
14437,13:33:00,13:33:41,13:54:55,13:56:02,14:01:03,14:53:18
14438,13:37:12,13:37:37,14:02:23,14:02:45,14:07:52,14:40:14
14441,14:53:46,14:54:07,15:13:14,15:14:07,15:17:33,16:01:59
14442,15:37:36,15:38:37,16:04:09,16:05:14,16:08:32,16:55:14
14444,15:45:45,15:46:18,16:10:03,16:11:44,16:15:50,17:02:07
14445,17:01:06,17:01:57,17:24:43,17:25:48,17:30:48,18:18:22
14447,17:09:24,17:11:30,17:34:01,17:35:00,17:39:17,18:26:48
14449,17:15:45,17:16:38,17:45:21,17:45:58,17:48:21,18:13:44
14450,17:32:58,17:33:24,17:54:05,17:54:51,17:57:08,18:33:39
14451,17:38:11,17:38:44,18:08:24,18:09:09,18:13:39,18:57:16
14452,17:41:11,17:41:35,18:06:10,18:06:53,18:13:16,19:01:12
14454,17:50:49,17:51:20,18:10:33,18:11:27,18:15:17,18:57:53
14455,19:24:58,19:25:30,19:46:37,19:48:07,19:51:10,20:36:54
14456,19:52:33,19:52:53,20:15:54,20:16:59,20:19:47,21:06:27
14462,21:38:08,21:38:54,22:02:16,22:02:56,22:04:56,22:38:15
14463,21:46:26,21:47:10,22:08:38,22:09:10,22:13:34,22:59:43
14464,21:47:20,21:49:52,22:13:06,22:14:09,22:16:44,22:58:34
14466,22:01:59,22:02:18,22:18:05,22:18:55,22:22:11,22:58:27
14469,01:51:59,01:52:21,02:08:42,02:10:36,02:13:14,02:49:59
14470,02:03:17,02:03:37,02:26:38,02:27:32,02:30:04,03:07:30
14471,02:04:02,02:04:25,02:41:19,02:42:10,02:45:23,03:15:21
14472,02:04:48,02:05:49,02:24:11,02:24:51,02:28:31,02:57:05
14473,02:05:29,02:06:40,03:10:09,03:11:48,03:17:56,04:12:29
14474,02:29:02,02:29:30,02:56:14,02:57:13,03:00:20,03:49:19
14475,02:30:41,02:31:18,02:52:43,02:53:42,02:56:06,03:34:46
14478,04:14:08,04:14:35,04:34:46,04:35:18,04:37:26,05:17:31
14480,04:44:21,04:44:44,05:07:55,05:09:23,05:13:10,06:03:15
14482,05:21:54,05:22:18,05:41:42,05:43:18,05:46:31,06:26:39
14483,05:22:07,05:24:44,05:43:25,05:43:39,05:47:28,06:15:31
14485,05:22:21,05:28:15,05:50:26,05:51:03,05:55:06,06:28:40
14486,05:22:34,05:28:24,05:50:14,05:50:52,05:55:05,06:31:02
14487,05:22:44,05:28:25,05:47:43,05:48:08,05:49:54,06:21:52
14488,05:22:47,05:29:19,05:55:32,05:55:50,06:00:36,06:36:47
14489,05:22:55,05:29:39,06:27:31,06:30:49,06:38:44,08:29:19
14490,05:23:01,05:29:33,06:27:18,06:28:57,06:37:26,08:15:55
14491,05:23:25,05:29:41,06:17:57,06:19:44,06:27:47,08:11:50
14494,05:42:32,05:43:13,06:14:29,06:16:09,06:22:53,07:38:59
14496,05:52:01,05:52:37,06:07:26,06:08:09,06:11:30,06:43:33
14497,05:52:07,05:52:51,06:14:58,06:16:15,06:21:28,07:11:38
14498,05:53:16,05:54:12,06:58:27,07:00:21,07:08:03,08:39:27
